Name complex,room number,square,floor,Цена на 25.01.2022,Цена на 11.06.2022,Цена на 15.02.2023
complex AVrorA,1,48.26,15,207000,212000,247700

complex AVrorA,1,48.26,16,207000,212000,247700

complex AVrorA,1,49.51,2,178000,193000,226700

complex AVrorA,1,51.01,3,179000,194000,227800

complex AVrorA,1,51.01,4,179000,194000,227800

complex AVrorA,1,51.47,3,179000,194000,227800

complex AVrorA,1,51.47,4,179000,194000,227800

complex AVrorA,1,51.01,5,184000,199000,233300

complex AVrorA,1,51.01,6,184000,199000,233300

complex AVrorA,1,51.01,7,184000,199000,233300

complex AVrorA,1,51.01,8,184000,199000,233300

complex AVrorA,1,51.47,5,184000,199000,233300

complex AVrorA,1,51.47,6,184000,199000,233300

complex AVrorA,1,51.47,7,184000,199000,233300

complex AVrorA,1,51.47,8,184000,199000,233300

complex AVrorA,1,51.01,9,187000,202000,236600

complex AVrorA,1,51.01,10,187000,202000,236600

complex AVrorA,1,51.01,11,187000,202000,236600

complex AVrorA,1,51.01,12,187000,202000,236600

complex AVrorA,1,51.47,9,187000,202000,236600

complex AVrorA,1,51.47,10,187000,202000,236600

complex AVrorA,1,51.47,11,187000,202000,236600

complex AVrorA,1,51.47,12,187000,202000,236600

complex AVrorA,1,51.01,13,190000,205000,239900

complex AVrorA,1,51.01,14,190000,205000,239900

complex AVrorA,1,51.01,15,190000,205000,239900

complex AVrorA,1,51.01,16,190000,205000,239900

complex AVrorA,1,51.47,13,190000,205000,239900

complex AVrorA,1,51.47,14,190000,205000,239900

complex AVrorA,1,51.47,15,190000,205000,239900

complex AVrorA,1,51.47,16,190000,205000,239900

complex AVrorA,1,52.11,2,183000,198000,232200

complex AVrorA,1,52.62,1,186000,201000,235500

complex AVrorA,1,52.62,2,186000,201000,235500

complex AVrorA,1,52.62,3,186000,201000,235500

complex AVrorA,1,52.62,4,186000,201000,235500

complex AVrorA,1,54.04,1,186000,201000,235500

complex AVrorA,1,54.04,2,186000,201000,235500

complex AVrorA,1,54.04,3,186000,201000,235500

complex AVrorA,1,54.04,4,186000,201000,235500

complex AVrorA,1,52.62,5,192000,207000,242100

complex AVrorA,1,52.62,6,192000,207000,242100

complex AVrorA,1,52.62,7,192000,207000,242100

complex AVrorA,1,52.62,8,192000,207000,242100

complex AVrorA,1,54.04,5,192000,207000,242100

complex AVrorA,1,54.04,6,192000,207000,242100

complex AVrorA,1,54.04,7,192000,207000,242100

complex AVrorA,1,54.04,8,192000,207000,242100

complex AVrorA,1,52.62,9,195000,210000,245500

complex AVrorA,1,52.62,10,195000,210000,245500

complex AVrorA,1,52.62,11,195000,210000,245500

complex AVrorA,1,52.62,12,195000,210000,245500

complex AVrorA,1,54.04,9,195000,210000,245500

complex AVrorA,1,54.04,10,195000,210000,245500

complex AVrorA,1,54.04,11,195000,210000,245500

complex AVrorA,1,54.04,12,195000,210000,245500

complex AVrorA,1,52.62,13,198000,213000,248800

complex AVrorA,1,52.62,14,198000,213000,248800

complex AVrorA,1,52.62,15,198000,213000,248800

complex AVrorA,1,52.62,16,198000,213000,248800

complex AVrorA,1,54.04,13,198000,213000,248800

complex AVrorA,1,54.04,14,198000,213000,248800

complex AVrorA,1,54.04,15,198000,213000,248800

complex AVrorA,1,54.04,16,198000,213000,248800

complex AVrorA,1,62.39,3,167000,182000,214500

complex AVrorA,1,62.39,4,167000,182000,214500

complex AVrorA,1,62.39,5,172000,187000,220000

complex AVrorA,1,62.39,6,172000,187000,220000

complex AVrorA,1,62.39,7,172000,187000,220000

complex AVrorA,1,62.39,8,172000,187000,220000

complex AVrorA,1,62.39,9,175000,190000,223300

complex AVrorA,1,62.39,10,175000,190000,223300

complex AVrorA,1,62.39,11,175000,190000,223300

complex AVrorA,1,62.39,12,175000,190000,223300

complex AVrorA,1,62.39,13,178000,193000,226700

complex AVrorA,1,62.39,14,178000,193000,226700

complex AVrorA,1,62.39,15,178000,193000,226700

complex AVrorA,1,62.39,16,178000,193000,226700

complex AVrorA,1,62.39,17,183000,198000,232200

complex AVrorA,1,62.39,18,183000,198000,232200

complex AVrorA,1,62.39,19,183000,198000,232200

complex AVrorA,1,62.39,20,183000,198000,232200

complex AVrorA,1,62.39,21,183000,198000,232200

complex AVrorA,1,62.39,22,183000,198000,232200

complex AVrorA,2,67.53,2,179000,194000,219600

complex AVrorA,2,69.09,1,185000,200000,226200

complex AVrorA,2,69.09,2,185000,200000,226200

complex AVrorA,2,69.09,3,185000,200000,226200

complex AVrorA,2,69.09,4,185000,200000,226200

complex AVrorA,2,71.71,1,185000,200000,226200

complex AVrorA,2,71.71,2,185000,200000,226200

complex AVrorA,2,71.71,3,185000,200000,226200

complex AVrorA,2,71.71,4,185000,200000,226200

complex AVrorA,2,69.09,5,190000,205000,231700

complex AVrorA,2,69.09,6,190000,205000,231700

complex AVrorA,2,69.09,7,190000,205000,231700

complex AVrorA,2,69.09,8,190000,205000,231700

complex AVrorA,2,71.71,5,190000,205000,231700

complex AVrorA,2,71.71,6,190000,205000,231700

complex AVrorA,2,71.71,7,190000,205000,231700

complex AVrorA,2,71.71,8,190000,205000,231700

complex AVrorA,2,69.09,9,193000,208000,235100

complex AVrorA,2,69.09,10,193000,208000,235100

complex AVrorA,2,69.09,11,193000,208000,235100

complex AVrorA,2,69.09,12,193000,208000,235100

complex AVrorA,2,71.71,9,193000,208000,235100

complex AVrorA,2,71.71,10,193000,208000,235100

complex AVrorA,2,71.71,11,193000,208000,235100

complex AVrorA,2,71.71,12,193000,208000,235100

complex AVrorA,2,69.09,13,196000,211000,238400

complex AVrorA,2,69.09,14,196000,211000,238400

complex AVrorA,2,69.09,15,196000,211000,238400

complex AVrorA,2,69.09,16,196000,211000,238400

complex AVrorA,2,71.71,13,196000,211000,238400

complex AVrorA,2,71.71,14,196000,211000,238400

complex AVrorA,2,71.71,15,196000,211000,238400

complex AVrorA,2,71.71,16,196000,211000,238400

complex AVrorA,2,80.72,2,156000,171000,194100

complex AVrorA,2,85.52,3,159000,174000,197500

complex AVrorA,2,85.52,4,159000,174000,197500

complex AVrorA,2,86.15,3,159000,174000,197500

complex AVrorA,2,86.15,4,159000,174000,197500

complex AVrorA,2,85.52,5,163000,178000,201900

complex AVrorA,2,85.52,6,163000,178000,201900

complex AVrorA,2,85.52,7,163000,178000,201900

complex AVrorA,2,85.52,8,163000,178000,201900

complex AVrorA,2,86.15,5,163000,178000,201900

complex AVrorA,2,86.15,6,163000,178000,201900

complex AVrorA,2,86.15,7,163000,178000,201900

complex AVrorA,2,86.15,8,163000,178000,201900

complex AVrorA,2,85.52,9,165000,180000,204100

complex AVrorA,2,85.52,10,165000,180000,204100

complex AVrorA,2,85.52,11,165000,180000,204100

complex AVrorA,2,85.52,12,165000,180000,204100

complex AVrorA,2,86.15,9,165000,180000,204100

complex AVrorA,2,86.15,10,165000,180000,204100

complex AVrorA,2,86.15,11,165000,180000,204100

complex AVrorA,2,86.15,12,165000,180000,204100

complex AVrorA,2,85.52,13,168000,183000,207400

complex AVrorA,2,85.52,14,168000,183000,207400

complex AVrorA,2,85.52,15,168000,183000,207400

complex AVrorA,2,85.52,16,168000,183000,207400

complex AVrorA,2,86.15,13,168000,183000,207400

complex AVrorA,2,86.15,14,168000,183000,207400

complex AVrorA,2,86.15,15,168000,183000,207400

complex AVrorA,2,86.15,16,168000,183000,207400

complex AVrorA,3,120.48,3,152000,167000,202200

complex AVrorA,3,123.13,3,155000,170000,205500

complex AVrorA,3,123.13,4,155000,170000,205500

complex AVrorA,3,123.48,3,155000,170000,205500

complex AVrorA,3,123.48,4,155000,170000,205500

complex AVrorA,3,123.13,5,158000,173000,208900

complex AVrorA,3,123.13,6,158000,173000,208900

complex AVrorA,3,123.13,7,158000,173000,208900

complex AVrorA,3,123.13,8,158000,173000,208900

complex AVrorA,3,123.48,5,158000,173000,208900

complex AVrorA,3,123.48,6,158000,173000,208900

complex AVrorA,3,123.48,7,158000,173000,208900

complex AVrorA,3,123.48,8,158000,173000,208900

complex AVrorA,3,123.13,9,160000,175000,211100

complex AVrorA,3,123.13,10,160000,175000,211100

complex AVrorA,3,123.13,11,160000,175000,211100

complex AVrorA,3,123.13,12,160000,175000,211100

complex AVrorA,3,123.48,9,160000,175000,211100

complex AVrorA,3,123.48,10,160000,175000,211100

complex AVrorA,3,123.48,11,160000,175000,211100

complex AVrorA,3,123.48,12,160000,175000,211100

complex AVrorA,3,123.13,13,162000,177000,213300

complex AVrorA,3,123.13,14,162000,177000,213300

complex AVrorA,3,123.13,15,162000,177000,213300

complex AVrorA,3,123.13,16,162000,177000,213300

complex AVrorA,3,123.48,13,162000,177000,213300

complex AVrorA,3,123.48,14,162000,177000,213300

complex AVrorA,3,123.48,15,162000,177000,213300

complex AVrorA,3,123.48,16,162000,177000,213300

complex AVrorA,3,123.13,17,165500,180500,217100

complex AVrorA,3,123.13,18,165500,180500,217100

complex AVrorA,3,123.13,19,165500,180500,217100

complex AVrorA,3,123.13,20,165500,180500,217100

complex AVrorA,3,123.48,17,165500,180500,217100

complex AVrorA,3,123.48,18,165500,180500,217100

complex AVrorA,3,123.48,19,165500,180500,217100

complex AVrorA,3,123.48,20,165500,180500,217100

complex AVrorA,3,123.13,21,169000,184000,221000

complex AVrorA,3,123.13,22,169000,184000,221000

complex AVrorA,3,123.48,21,169000,184000,221000

complex AVrorA,3,123.48,22,169000,184000,221000

complex AVrorA,3,127.09,3,187000,217000,257500

complex AVrorA,3,127.09,4,187000,217000,257500

complex AVrorA,3,127.09,5,190000,220000,260800

complex AVrorA,3,127.09,6,190000,220000,260800

complex AVrorA,3,127.09,7,190000,220000,260800

complex AVrorA,3,127.09,8,190000,220000,260800

complex AVrorA,3,127.09,9,192000,222000,263000

complex AVrorA,3,127.09,10,192000,222000,263000

complex AVrorA,3,127.09,11,192000,222000,263000

complex AVrorA,3,127.09,12,192000,222000,263000

complex AVrorA,3,127.09,13,194000,224000,265200

complex AVrorA,3,127.09,14,194000,224000,265200

